text,id,cleaned_text,sentiment_score
"RT @ATT: Learn how to get the new Google Pixel 10 Pro XL for free with eligible trade-in. Any year, any condition.",1967576870507131229,rt learn get new google pixel pro xl free eligible tradein year condition,0.5106
"【おすすめ商品】

商品名: 【整備済み品】 Google Pixel 7a G82U8 128GB Charcoal SIMフリー (整備済み品)…

価格: ￥29,500

【PR】Amazonアフィリエイト

更新：2025/09/15 22:10

https://t.co/SotkXFa4s7",1967576870335230225,google pixel gu gb charcoal sim pramazon,0.0
"【グーグルストア紹介コード】
GoogleストアでGoogle Pixelスマホを購入される方は、是非とも下記紹介クーポンコードをお使いください。あなたはピクセルスマホが10% 引きになります。私は5,000円分のストアクレジットがもらえます。

REF-DN5DVL6U77K499RHKVSFPRG
REF-PFY9G8O1HEVWNKIZV664E0F",1967576832750092452,googlegoogle pixel refdndvlukrhkvsfprg refpfygohevwnkizvef,0.0
"RT @LiterarysInk: Pixel power unlocked 📱✨ 256 GB storage, pro‑grade AI camera, stunning Moonstone finish + $200 Amazon Gift Card bonus. Sho…",1967576811296244210,rt pixel power unlocked gb storage prograde ai camera stunning moonstone finish amazon gift card bonus sho,0.8658
"RT @googlejapan: 【叶さん ＆ 赤城ウェンさん ＆ 小柳ロウさんの直筆メッセージ入りスマホケースと最新の Google Pixel 10 Pro プレゼントしちゃいますよキャンペーン】

1 名様に当たります！！

＜応募方法＞
① @googlejapan を…",1967576806778917050,rt google pixel pro,0.0
"RT @Arsenal: Impacting things 💥

The Premier League Player of the Match, Shot on Google Pixel 🤳 https://t.co/dNH8YNfUlU",1967576788596297951,rt impacting things premier league player match shot google pixel,0.0
"RT @Arsenal: Doubling up 2️⃣

Shot on Google Pixel 🤳 https://t.co/jVZg32beAu",1967576635886145912,rt doubling shot google pixel,0.0
"Brand new Google Pixel 
7 pro 128gb - N680k
7 pro 512gb - N800k
8 pro 128GB - N900k
9 128gb - N1.1M
9A 128gb - N850k
9 pro 128gb - N1.380M
9 pro 256gb - N1.520M
9 pro XL 128gb - N1.4M
9 Pro XL 256gb - N1.5M
9 pro  256gb - N1.520M https://t.co/DOP64qGeoL",1967576595927118210,brand new google pixel pro gb nk pro gb nk pro gb nk gb nm gb nk pro gb nm pro gb nm pro xl gb nm pro xl gb nm pro gb nm,0.0
"RT @BRUTUS_mag: Gemini で「インプット」を効率化。《Google Pixel 10 Pro》が広げるクリエイターの創造性
https://t.co/aE3lyr3cNW #PR https://t.co/NCIMBGcNXP",1967576426133213191,rt gemini google pixel pro pr,0.0
"夜景デートも思い出も…Pixel 9aで映画みたいに📸AIが自動で美しく仕上げる📱
👉 https://t.co/tQEsKltM3Q
#楽天モバイル #Pixel9a #PR
IP48",1967576384756482284,pixel aai pixela pr ip,0.0
"Order placed: OLED Display for Google Pixel  6 6A 6Pro LCD Touch Screen Replacement Assembly US 

Total landing cost : 90,850 

Ps prices are not constant 📌 https://t.co/CQJW4uCxDZ",1967576356491087892,order placed oled display google pixel pro lcd touch screen replacement assembly us total landing cost ps prices constant,0.0
"RT @AssembleDebug: Google Pixel's Scam Detection feature will soon extend to more chatting apps like Whatsapp, Instagram and more

Google a…",1967576317999853731,rt google pixels scam detection feature soon extend chatting apps like whatsapp instagram google,-0.128
"RT @AssembleDebug: Google Pixel's Scam Detection feature will soon extend to more chatting apps like Whatsapp, Instagram and more

Google a…",1967576312249450739,rt google pixels scam detection feature soon extend chatting apps like whatsapp instagram google,-0.128
"#紹介コード 
#Google 
#Pixel",1967576302082461894,google pixel,0.0
"Cats just sit there judging you while secretly plotting your downfall 🐶🐱😼

#Cats #CatLovers #CatJudgement #PetHumor #PetLove #FunnyCats #CatsAndDogs #PetOwners

Featuring Le Chat Google Pixel 9 Series Skin
👉 https://t.co/Q0vF9uamjf https://t.co/ppphNucHtO",1967576295165857950,cats sit judging secretly plotting downfall cats catlovers catjudgement pethumor petlove funnycats catsanddogs petowners featuring le chat google pixel series skin,0.0
"RT @LiterarysInk: Upgrade your tech game with the new Google Pixel 10 in Indigo! 🚀 Enjoy Gemini AI, stunning triple camera with 5x telephot…",1967576252765888605,rt upgrade tech game new google pixel indigo enjoy gemini ai stunning triple camera x telephot,0.7003
"RT @LiterarysInk: Level up your smartphone experience with the Google Pixel 10 Pro XL in elegant Moonstone! 🌕 Boasting a massive 6.8"" Super…",1967576219177890009,rt level smartphone experience google pixel pro xl elegant moonstone boasting massive super,0.7906
"RT @ANOTHERSKY_NTV: ＼🎉視聴者プレゼント🎉／

#見上愛 さんサイン入り
Google Pixel presents アナザースカイ特製
「サタデーナイト・クリアケース」を
抽選で3名様にプレゼント🩵✨
*クリアケースは非売品です。

✅応募方法
①@ANO…",1967576188148502549,rt google pixel presents,0.0
